rank,status,target,english,issue,proposed_target,proposed_english
151,PASS,هل تقصدني؟,Do you mean me?,,,
152,PASS,هل أنت بحاجة إلى المال؟,Do you need money?,,,
153,PASS,هل تذكرني؟,Do you remember me?,,,
154,PASS,هل تتكلم اللغة الإنجليزية؟,Do you speak English?,,,
155,PASS,هل تتحدث الفرنسية؟,Do you speak French?,,,
156,PASS,أتعتقد ذلك؟,Do you think so?,,,
157,PASS,هل تفهَمُها؟,Do you understand her?,,,
158,REPAIR,أتريد شيئاً؟,Do you want anything?,Normalize standard Arabic tanwin spelling.,أتريد شيئًا؟,Do you want anything?
159,PASS,هل تعمل لوحدك؟,Do you work alone?,,,
160,PASS,هل أكلت اليوم؟,Have you eaten today?,,,
161,PASS,كيف حالك الآن؟,How are you now?,,,
162,PASS,كيف جرى الأمر؟,How did it go?,,,
163,REPAIR,و كيف أجبت؟,How did you reply?,Extra conjunction is omitted in English and separated incorrectly from the following word.,كيف أجبت؟,How did you reply?
164,PASS,كم عمرك؟,How old are you?,,,
165,PASS,كيف لي أن أعرف؟,How should I know?,,,
166,REPAIR,كم طولك؟,How tall are you?,Colloquial/elliptical phrasing for a strict MSA workbook; use standard MSA question form.,كم يبلغ طولك؟,How tall are you?
167,PASS,يا لك من محظوظ!,How lucky you are!,,,
168,PASS,ما أطولك!,How tall you are!,,,
169,PASS,قف مكانك!,Stand where you are!,,,
170,PASS,صدّق ما تشاء.,Believe what you like.,,,
171,PASS,تعال إذا أمكنك.,Come if you can.,,,
172,PASS,افعل كما أقول,Do as I say.,,,
173,REPAIR,إفعل ما تريد.,Do as you like.,Incorrect imperative hamza; direct normalization would duplicate row 174.,افعل ما يحلو لك.,Do as you like.
174,PASS,افعل ما تريد.,Do as you want.,,,
175,PASS,افعل ما شئت.,Do what you will.,,,
176,PASS,قم بعملك بنفسك.,Do your own work.,,,
177,PASS,كُلْ ما تريد.,Eat whatever you like.,,,
178,PASS,ها هي دراجتي.,Here is my bicycle.,,,
179,PASS,ها هي حقيبتك.,Here is your bag.,,,
180,PASS,ها هو كتابك.,Here is your book.,,,
181,PASS,هذا هو الباقي.,Here is your change.,,,
182,PASS,ها هو مفتاحك.,Here is your key.,,,
183,REPAIR,هذا ما ظننته,Here's what I think.,Tense/meaning mismatch: ظننته is past thought.,هذا ما ظننته.,That's what I thought.
184,PASS,أُقَدِّر مساعدتك.,I appreciate your help.,,,
185,REPAIR,أستطيع تحدث الإنجليزية.,I can speak English.,Ungrammatical verbal construction.,أستطيع التحدث بالإنجليزية.,I can speak English.
186,PASS,ليس لدي وقت.,I don't have time.,,,
187,PASS,أنا لا أعرف لماذا,I don't know why.,,,
188,PASS,أنا لا أعرفك,I don't know you.,,,
189,PASS,لا أحب المدرسة.,I don't like school.,,,
190,PASS,أتوقع مساعدتك.,I expect your help.,,,
191,PASS,أشعر بما تمر به.,I feel for you.,,,
192,PASS,أذهب إلى المدرسة.,I go to school.,,,
193,PASS,عندي بيت.,I have a home.,,,
194,REPAIR,ليس لدي شك.,I have no doubts.,Singular/plural mismatch.,ليس لدي شك.,I have no doubt.
195,PASS,ليس لدي أي مال.,I have no money.,,,
196,PASS,ليس لدي أشقاء.,I have no siblings.,,,
197,PASS,ليس لدي أخوات.,I have no sisters.,,,
198,PASS,يجب أن أذهب.,I have to go.,,,
199,PASS,دفتر يومياتك عندي.,I have your diary.,,,
200,PASS,أعرف أباك.,I know your father.,,,
