rank,status,note,proposed_target,proposed_english
451,REPAIR,"Interrogative 'why' should be لِمَ or لماذا; current unmarked لم is confusable with negation.",لماذا اشتريت هذه السيارة؟,Why did you buy this car?
452,REPAIR,"Interrogative 'why' should be لِمَ or لماذا.",لماذا عصيت أمري؟,Why did you disobey my order?
453,PASS,,,
454,REPAIR,"Interrogative 'why' should be لِمَ or لماذا.",لماذا تركت وظيفتك؟,Why did you quit your job?
455,REPAIR,"Current لم لم is malformed/ambiguous for learner-facing MSA; use لماذا لم.",لماذا لم تتصل بي مسبقًا؟,Why didn't you call me earlier?
456,PASS,,,
457,REPAIR,"Current لم لن is malformed; use لماذا لن.",لماذا لن تكون هنا غدًا؟,Why won't you be here tomorrow?
458,PASS,,,
459,PASS,,,
460,REPAIR,"رجاءًا is misspelled (رجاءً), and المجيء إلى هنا lacks the English sense of 'come in'.",هل يمكنك الدخول إلى هنا، رجاءً؟,"Could you come in here, please?"
461,PASS,,,
462,PASS,,,
463,REPAIR,"Standard orthography requires أن أفعلها من أجلك.",يمكنني أن أفعلها من أجلك.,I can do it for you.
464,REPAIR,"المدرس means teacher, not school; أحضر is also unsuitable here for routine travel.",أذهب إلى المدرسة بالحافلة.,I come to school by bus.
465,REPAIR,"Declarative sentence incorrectly ends in a question mark.",لا أعرف ما الذي سأفعله.,I don't know what I'll do.
466,REPAIR,"Standard orthography requires أعرف.",أنا لا أعرف ما يحصل هنا.,I don't know what happens here.
467,PASS,,,
468,REPAIR,"Arabic says 'I did not understand your meaning'; English says present 'I don't know what you mean'.",أنا لا أعرف ما تقصده.,I don't know what you mean.
469,REPAIR,"بالباص is colloquial/loan-register; use standard MSA بالحافلة.",أذهب إلى المدرسة بالحافلة.,I go to school by bus.
470,REPAIR,"Missing initial hamza in أعتقد.",أعتقد بأنه لا يمكننا الرفض.,I guess we can't say no.
471,PASS,,,
472,PASS,,,
473,REPAIR,"لا أملك المال does not express the English 'with me'.",ليس معي أي مال.,I have no money with me.
474,REPAIR,"Arabic means 'I want to tell you something'; English says 'I have something to tell you'.",لدي شيء أريد أن أخبرك به.,I have something to tell you.
475,PASS,,,
476,PASS,,,
477,PASS,,,
478,PASS,,,
479,PASS,,,
480,PASS,,,
481,REPAIR,"أنك ليس معجبًا بي is ungrammatical; the intended meaning is directly expressed with لا تحبني.",أنا أعلم أنك لا تحبني.,I know you don't like me.
482,REPAIR,"Arabic says 'I want you to trust me', not 'I need you to trust me'.",أريد منك أن تثق بي.,I want you to trust me.
483,PASS,,,
484,PASS,,,
485,PASS,,,
486,PASS,,,
487,PASS,,,
488,REPAIR,"Imperative is written افعل with hamzat al-wasl, not إفعل.",من فضلك افعل ما تراه ضروريًا.,Please do what you consider necessary.
489,PASS,,,
490,PASS,,,
491,PASS,,,
492,REPAIR,"For polished standard MSA, use حدّثني rather than the current form احكي in this learner sentence.",حدّثني عن رحلتك من فضلك.,Please tell me about your trip.
493,PASS,,,
494,PASS,,,
495,REPAIR,"ما أحتاج is incomplete/less standard here; use ما أحتاج إليه.",سأبتاع غدًا ما أحتاج إليه.,Tomorrow I'll buy what I need.
496,PASS,,,
497,REPAIR,"Interrogative relative should be لماذا/لِمَ, not bare لم.",نعلم لماذا قمت بذلك.,We know why you did that.
498,PASS,,,
499,PASS,,,
500,PASS,,,
