rank,status,note,proposed_target,proposed_english
651,PASS,,,
652,PASS,,,
653,PASS,,,
654,PASS,,,
655,PASS,,,
656,PASS,,,
657,PASS,,,
658,PASS,,,
659,PASS,,,
660,PASS,,,
661,PASS,,,
662,PASS,,,
663,PASS,,,
664,PASS,,,
665,PASS,,,
666,PASS,,,
667,PASS,,,
668,PASS,,,
669,PASS,,,
670,PASS,,,
671,PASS,,,
672,PASS,,,
673,PASS,,,
674,PASS,,,
675,PASS,,,
676,PASS,,,
677,PASS,,,
678,PASS,,,
679,PASS,,,
680,PASS,,,
681,PASS,,,
682,PASS,,,
683,PASS,,,
684,PASS,,,
685,PASS,,,
686,REPAIR,"سنبھال کر رکھنا means to keep something safe/carefully; English drops that meaning.",ہمیں رسید سنبھال کر رکھنا ہے۔,We need to keep the receipt safe.
687,REPAIR,"سنبھال کر رکھنا means to keep something safe/carefully; English drops that meaning.",ہمیں رسید سنبھال کر رکھنا چاہیے۔,We should keep the receipt safe.
688,REPAIR,"سنبھال کر رکھنا means to keep something safe/carefully; English drops that meaning.",ہم رسید سنبھال کر رکھ سکتے ہیں۔,We can keep the receipt safe.
689,REPAIR,"سنبھال کر رکھنا means to keep something safe/carefully; English drops that meaning.",براہِ کرم رسید سنبھال کر رکھیے۔,Please keep the receipt safe.
690,PASS,,,
691,PASS,,,
692,PASS,,,
693,PASS,,,
694,PASS,,,
695,PASS,,,
696,PASS,,,
697,PASS,,,
698,PASS,,,
699,PASS,,,
700,PASS,,,
