rank,status,note,proposed_target,proposed_english
951,REPAIR,"Standard spelling is بريء, not برئ.",نحن لسنا الوحيدين الذين يعتقدون أنه بريء.,We are not the only ones who believe that he is innocent.
952,PASS,,,
953,REPAIR,"يمكنك is 'can', not conditional 'could'.",يمكنك القول إن كل واحدة من هاتين الكرتين لها نفس وزن الأخرى.,You can say that both of those balls are the same weight.
954,PASS,,,
955,REPAIR,"أن يستطيع أن يأتي is awkward; use يتمكن من المجيء.",آمل أن يتمكن من المجيء! أود أن أراه.,I hope he'll be able to come! I'd like to see him.
956,REPAIR,"مدين لك كثيرًا لكل is incorrect preposition/collocation; use مدين لك بالكثير على.",أنا مدين لك بالكثير على كل ما فعلته من أجلي.,I am greatly indebted to you for all you have done for me.
957,REPAIR,"Correct إلى; Arabic is direct 'can't wait' and says my bed, while English uses 'hardly' and 'own'.",لا يمكنني الانتظار للوصول إلى المنزل والنوم في سريري.,I can't wait to get home and sleep in my bed.
958,PASS,,,
959,REPAIR,"Standard spelling is الإنجليزية.",سأساعدك في الفرنسية إذا ساعدتني في الإنجليزية.,"I'll help you with your French, if you help me with my English."
960,PASS,,,
961,PASS,,,
962,PASS,,,
963,PASS,,,
964,REPAIR,"Arabic only says before going home; English says before we can go home. Make ability explicit.",لدينا الكثير من العمل للقيام به قبل أن نتمكن من الذهاب إلى المنزل.,We have a lot of work to do before we can go home.
965,PASS,,,
966,PASS,,,
967,REPAIR,"لو لم يسبق لي أن آكل is ungrammatical; use a correct past-perfect counterfactual.",لو لم أكن قد أكلت بالفعل، لأحببت تناول الغداء معك.,"If I hadn't already eaten, I would have loved to have lunch with you."
968,PASS,,,
969,REPAIR,"Arabic lacks 'necessarily' and says ticket reservation, not specifically plane reservation.",ليس عليك أن تذهب إلى المطار من أجل إعادة تأكيد حجز تذكرتك.,You don't have to go to the airport to reconfirm your ticket reservation.
970,REPAIR,"أنا نظرت is marked/awkward without contrast; use direct verb-initial phrasing.",نظرت إلى نفسي في المرآة ولم أحب ما رأيت.,I looked at myself in the mirror and I didn't like what I saw.
971,REPAIR,"الغير is poor learner-facing usage here and current Arabic does not explicitly say 'where others might see them'.",من الأفضل ألا تدوّن كلمات المرور في مكان قد يراها فيه الآخرون.,It's recommended that you don't write your passwords down where others might see them.
972,PASS,,,
973,REPAIR,"Missing hamza in أبي; تضايق means bother/annoy, not tease.",كان أبي دائمًا يقول إنك لا تداعب إلا الأشخاص الذين تحبهم.,My father used to always say that you only tease the ones you love.
974,PASS,,,
975,REPAIR,"Arabic القيام عن السرير is incorrect; English also contains typo 'woke us' instead of 'woke up'.",عندما استيقظت هذا الصباح لم أرد النهوض من السرير.,"When I woke up this morning, I didn't want to get out of bed."
976,REPAIR,"Use a natural affordability expression and preserve the past realization cleanly.",فجأة، تذكرت أنني لم أكن أستطيع تحمّل ثمن هذا العدد الكبير من الكتب.,"All of a sudden, I remembered that I couldn't afford so many books."
977,PASS,,,
978,REPAIR,"Arabic says الطريق ('road'), while English says street.",تابع على طول هذا الطريق وسيكون مكتب البريد على يسارك.,Go along this road and you'll come to the post office on the left.
979,REPAIR,"سوء التفاهم means misunderstanding, not conflict.",لا يبدو على علم بسوء التفاهم الذي بيني وبين أبي.,He seems not to be aware of the misunderstanding between my father and me.
980,REPAIR,"Arabic only expresses the air becoming pleasant/fresh; English adds 'clean'.",أحب كيف يصبح الهواء عليلًا بعد نزول المطر.,I love how fresh the air becomes after it rains.
981,PASS,,,
982,PASS,,,
983,REPAIR,"هو لزيارة is ungrammatical; fix missing hamzas and coordination.",الغرض من رحلتنا هو زيارة الأصدقاء ورؤية بعض الأماكن السياحية.,The purpose of our trip is to visit friends and see some tourist spots.
984,REPAIR,"Arabic says soft drinks generally, while English says cola specifically.",لفترة، كنت مدمنًا على شرب المشروبات الغازية وكنت أشربها كل يوم.,"For a while, I was addicted to soft drinks and drank them every day."
985,PASS,,,
986,REPAIR,"في اللغة الإنجليزية is awkward for pages written in English; use باللغة الإنجليزية.",استغرق الأمر مني أكثر من ساعتين لأترجم بضع صفحات باللغة الإنجليزية.,It took me more than two hours to translate a few pages of English.
987,PASS,,,
988,REPAIR,"Severe unmatched content: English contains a second sentence with no Arabic counterpart.",كل مرة أستخدم المايكروويف، يتوقف الواي فاي عن العمل.,"Every time I use my microwave oven, my Wi-Fi stops working."
989,REPAIR,"كونه متعبًا أو لا is awkward and means whether tired or not; English says no matter how tired.",بغضّ النظر عن مدى تعبه، يكتب في مذكّراته قبل أن يخلد إلى النوم.,"No matter how tired he is, he writes in his diary before going to bed."
990,PASS,,,
991,REPAIR,"بيد أن means 'but', not 'except'; the well-known logical structure requires باستثناء.",الديمقراطية أسوأ أشكال الحكم، باستثناء كل الأشكال الأخرى التي جُرّبت.,"Democracy is the worst form of government, except all the others that have been tried."
992,PASS,,,
993,REPAIR,"كان هناك الكثير من المتعة is an unnatural calque for 'It was a lot of fun'.",كان يجب أن تكون في الحفلة الليلة الماضية. كانت ممتعة جدًا.,You should have been at the party last night. It was a lot of fun.
994,PASS,,,
995,REPAIR,"Missing hamza in أستطيع and awkward learner-facing word order/punctuation.",عندما لا أستطيع النوم ليلًا، فإن الشيء الوحيد الذي يزعجني هو تكتكة الساعة.,It's only when I can't sleep at night that the ticking of the clock bothers me.
996,REPAIR,"اقلِ means fry; English says boil. Use اسلق and align the hardness clause naturally.",لو سمحت، اسلق البيض قليلًا كي لا يصبح البياض قاسيًا جدًا.,Please boil the eggs only a little so the whites don't get too hard.
997,PASS,,,
998,PASS,,,
999,PASS,,,
1000,REPAIR,"Multiple missing hamzas and current صوبت does not naturally express using a squirt gun to keep rabbits away.",أرش الأرانب في حديقتي بمسدس ماء لإبعادها عن الخضروات.,I spray the rabbits in my garden with a squirt gun to keep them away from the vegetables.
