rank,status,note,proposed_target,proposed_english
151,PASS,,,
152,PASS,,,
153,PASS,,,
154,REPAIR,"For a person, grand most naturally means tall; English 'big' is misleading for learners.",Qu'est-ce que tu es grand !,How tall you are!
155,PASS,,,
156,PASS,,,
157,PASS,,,
158,PASS,,,
159,PASS,,,
160,PASS,,,
161,PASS,,,
162,PASS,,,
163,PASS,,,
164,PASS,,,
165,PASS,,,
166,PASS,,,
167,PASS,,,
168,PASS,,,
169,PASS,,,
170,PASS,,,
171,PASS,,,
172,PASS,,,
173,PASS,,,
174,PASS,,,
175,PASS,,,
176,REPAIR,"sortir de là means get out of there; 'help me out here' is a different English idiom.",Aide-moi à sortir de là !,Help me get out of there!
177,PASS,,,
178,PASS,,,
179,REPAIR,"C'est mon bagage means 'This is my luggage', not 'Here is my baggage'.",C'est mon bagage.,This is my luggage.
180,REPAIR,"Mon vélo est ici is a location statement, not a presenting 'Here is...'.",Mon vélo est ici.,My bicycle is here.
181,PASS,,,
182,PASS,,,
183,PASS,,,
184,PASS,,,
185,REPAIR,"là means there; English incorrectly says 'Here is'.",Ton chien est là.,Your dog is there.
186,REPAIR,"French explicitly says 'back at the same point'; English drops that content.",Nous voici donc de nouveau au même point.,Here we are back at the same point again.
187,PASS,,,
188,PASS,,,
189,PASS,,,
190,PASS,,,
191,REPAIR,"être reconnaissant means be grateful, not merely appreciate.",Je te suis reconnaissant pour ton temps.,I am grateful to you for your time.
192,REPAIR,"être reconnaissant means be grateful, not merely appreciate.",Je te suis reconnaissant pour ton travail.,I am grateful to you for your work.
193,PASS,,,
194,PASS,,,
195,PASS,,,
196,PASS,,,
197,PASS,,,
198,REPAIR,"le means 'it'; to preserve English 'this' and avoid collapsing into row 196, use ça.",Je peux faire ça !,I can do this.
199,PASS,,,
200,PASS,,,
