rank,status,note,proposed_target,proposed_english
601,REPAIR,"Arabic means 'was able to succeed thanks to your help'; use a natural equivalent that preserves the original B-band progression.",استطعت أن أنجح بفضل مساعدتك.,Your help enabled me to succeed.
602,PASS,,,
603,REPAIR,"Missing hamzas in أحب and أفعل.",هذا ما أحب أن أفعله.,This is what I love to do.
604,PASS,,,
605,REPAIR,"Standard learner-facing orthography uses غدًا.",غدًا هو أول يوم عمل لي.,Tomorrow is my first day of work.
606,PASS,,,
607,REPAIR,"Arabic says 'repeat this tomorrow'; English paraphrases it as 'do this again tomorrow'.",علينا تكرار هذا غدًا.,We have to repeat this tomorrow.
608,REPAIR,"تسألني للمساعدة is an unnatural calque for 'ask me for help'.",يمكنك دائمًا أن تطلب مني المساعدة.,You can always ask me for help.
609,REPAIR,"العودة means return; English 'go home' loses that meaning.",يمكنك العودة إلى البيت لو أردت.,You can return home if you like.
610,REPAIR,"يمكنك أنت تقول is ungrammatical; after يمكنك use أن تقول.",يمكنك أن تقول أي شيء تريد.,You can say whatever you want to.
611,REPAIR,"يمكنك is 'can', not conditional 'could'.",يمكنك المجيء والعيش معي.,You can come and live with me.
612,REPAIR,"كأن عليك means roughly 'as if you have to'; it does not express past counterfactual 'ought to have come'.",كان ينبغي أن تأتي إلى هنا مبكرًا.,You ought to have come here earlier.
613,REPAIR,"Arabic لنجاحنا corresponds to 'for our success', not 'to our success'.",مساعدتك ضرورية لنجاحنا.,Your help is necessary for our success.
614,REPAIR,"تجرء is misspelled; present 'dare' is تجرؤ. Match exclamatory punctuation.",كيف تجرؤ على قول شيء كهذا!,How dare you say such a thing!
615,REPAIR,"تسمع means hear; English requires deliberate listening.",كل ما عليك فعله هو أن تستمع بعناية.,All you need to do is listen carefully.
616,REPAIR,"شاكر لمساعدتك لي is awkward learner-facing MSA; use idiomatic ممتن ... على.",أنا ممتن لك على مساعدتك.,I am grateful to you for your help.
617,REPAIR,"Current Arabic says 'I thought you called me for that'; rewrite to match the causal English precisely.",افترضت أن هذا هو سبب اتصالك بي.,I assumed that was why you called me.
618,REPAIR,"Arabic says 'I don't know how to thank you for this help', not the idiom 'cannot thank you enough'.",لا أجد كلمات تكفي لشكرك على مساعدتك.,I cannot thank you enough for your assistance.
619,REPAIR,"Arabic says 'I don't think I know this place'; English says 'where that is'.",لا أعتقد أنني أعرف هذا المكان.,I don't think I know this place.
620,PASS,,,
621,REPAIR,"Arabic explicitly says ما يكفي من الوقت ('enough time'); English omits 'enough'.",لا أعلم إن كان لدي ما يكفي من الوقت.,I don't know if I have enough time.
622,PASS,,,
623,PASS,,,
624,REPAIR,"الباص is colloquial/loan-register; use standard MSA الحافلة.",لا أدري أين موقف الحافلة.,I don't know where the bus stop is.
625,REPAIR,"Bare لم is ambiguous here and English adds 'just', absent from Arabic. Make first-person subject explicit.",لا أعلم لماذا فعلتُ ذلك.,I don't know why I did that.
626,REPAIR,"تنساني means 'forget me'; English adds 'about'.",لا أريدك أن تنساني.,I don't want you to forget me.
627,PASS,,,
628,PASS,,,
629,REPAIR,"لأنهي واجبي means 'to finish my homework', not merely 'do'.",لدي أسبوع لأنهي واجبي.,I have a week to finish my homework.
630,REPAIR,"Arabic does not explicitly contain 'with me'.","ليس لدي أكثر من 1,000 ين.","I have no more than 1,000 yen."
631,PASS,,,
632,REPAIR,"Arabic says words cannot express the speaker's thanks; English uses a different construction.",الكلمات لا يمكنها أن تعبر عن شكري لك.,Words cannot express my gratitude to you.
633,PASS,,,
634,PASS,,,
635,REPAIR,"Missing hamzas and standard spelling in أعلم بأنه ليس لدي أي فرصة.",أعلم بأنه ليس لدي أي فرصة للفوز.,I know I have no chance of winning.
636,PASS,,,
637,PASS,,,
638,PASS,,,
639,REPAIR,"يجب أن أعرف is 'I have to/must know', stronger and more exact than 'need to know'.",يجب أن أعرف لماذا تحتاج هذا.,I have to know why you need this.
640,REPAIR,"Missing hamzas; الآن means 'now' while English says 'right away'. Use حالًا for exact urgency.",أحتاج أن أتحدث معك حالًا.,I need to speak with you right away.
641,PASS,,,
642,REPAIR,"Missing hamzas in أعتقد أن.",أعتقد أن الحياة هي ما تصنعه.,I think life is what you make it.
643,PASS,,,
644,PASS,,,
645,REPAIR,"Arabic says الذهاب معي ('go with me'); English 'come along' is less exact.",ظننت أنك قد تود الذهاب معي.,I thought you might want to go with me.
646,PASS,,,
647,PASS,,,
648,REPAIR,"أودّ means 'I would like', not simple 'I want'.",أودّ معرفة سبب فعلك لذلك.,I would like to know why you did that.
649,PASS,,,
650,REPAIR,"وقت أكثر لي is understandable but awkward learner-facing MSA; use an idiomatic phrase for time spent together.",أتمنى لو كان لديك وقت أطول تقضيه معي.,I wish you had more time for me.
