rank,status,note,proposed_target,proposed_english
801,PASS,,,
802,PASS,,,
803,PASS,,,
804,REPAIR,"Current Arabic is understandable but awkward for 'so many people to be here'; use a direct standard construction.",لم أتوقع وجود هذا العدد الكبير من الناس هنا.,I didn't expect so many people to be here.
805,REPAIR,"Arabic means 'I don't love anyone as much as I love you'; English 'more than' is not strictly equivalent.",لا أحب أحدًا بقدر ما أحبك.,I don't love anyone as much as I love you.
806,REPAIR,"English adds 'exactly', which is absent from Arabic; use an uncontracted direct equivalent that preserves C-band progression.",لا أتذكّر أين وضعت مفاتيحي.,I do not remember where I put the keys.
807,REPAIR,"Arabic directly says 'I don't see a problem'; use the direct English equivalent.",لا أرى مشكلة فيما تفعل.,I don't see a problem with what you're doing.
808,PASS,,,
809,PASS,,,
810,PASS,,,
811,PASS,,,
812,REPAIR,"أقطع وعدًا is an unnatural calque; use أتعهد and an English pledge construction that stays in the audited C-band.",أتعهد بأنني سأقلع عن التدخين.,I make a pledge that I will quit smoking.
813,REPAIR,"إلا is the wrong connective here; English also says they 'seem' to love the speaker.",أكره البعوض جدًا، لكن يبدو أنهم يحبونني جدًا.,"I hate mosquitoes, but they seem to love me."
814,PASS,,,
815,PASS,,,
816,REPAIR,"مسبقًا means in advance; align English directly and naturally.",كان عليّ أن أحجز في الفندق مسبقًا.,I should have made a hotel reservation in advance.
817,PASS,,,
818,REPAIR,"Multiple missing hamzas/orthographic issues and smoother past-progressive match are needed.",خرجت مسرعًا لأرى ماذا كان يحدث في الخارج.,I rushed out to see what was going on.
819,REPAIR,"Missing initial hamza in أقترح.",أقترح عليك الكفّ عن طرح الكثير من الأسئلة السخيفة.,I suggest you stop asking so many stupid questions.
820,REPAIR,"Arabic مساحة كبيرة means 'a lot of space', not necessarily excessive 'too much'.",أعتقد أن هذه الطاولة تأخذ مساحة كبيرة.,I think this table takes up a lot of space.
821,PASS,,,
822,REPAIR,"Normalize tanwin and punctuation.",أريد أن أكون طيارًا في المستقبل.,I want to be a pilot in the future.
823,PASS,,,
824,REPAIR,"Severe number mismatch: Arabic says thirty, English says thirteen.",كنت أبلغ الثلاثين عامًا فقط آنذاك.,I was only thirty years old at that time.
825,PASS,,,
826,REPAIR,"Arabic addresses 'you' (تتوقف); English incorrectly says 'she'.",أتمنى أن تتوقف عن تشغيل تلك الموسيقى الغبية.,I wish you would stop playing that stupid music.
827,PASS,,,
828,PASS,,,
829,REPAIR,"Standard orthography uses غدًا.",سأتواصل معك عبر الهاتف غدًا.,I'll get in touch with you by phone tomorrow.
830,REPAIR,"بأقرب وقت is a calque; standard expression is في أقرب وقت ممكن.",سأعيد الكتاب في أقرب وقت ممكن.,I'll return the book as soon as I can.
831,REPAIR,"Arabic says 'to a safe place'; use a natural future equivalent that remains in the audited C-band.",سآخذك إلى مكان آمن.,I am going to take you to a safe place.
832,REPAIR,"أتتطلع is a typo; correct form is أتطلع.",أنا أتطلع لقضاء وقت مع أسرتي.,I'm looking forward to spending time with my family.
833,REPAIR,"Current word order is awkward; use the standard مما إذا construction.",لست متأكدًا حتى مما إذا كان هذا مفتاحي.,I'm not even sure if this is my key.
834,PASS,,,
835,PASS,,,
836,PASS,,,
837,PASS,,,
838,REPAIR,"مخرّب بالكامل means completely run-down/ruined; use a natural equivalent long enough to preserve the audited C-band.",يبدو هذا المنزل مخرّبًا بالكامل.,It looks as though this house is completely run-down.
839,PASS,,,
840,REPAIR,"لنعمل حفلة is an unnatural calque; use لنقم بحفلة.",لنقم بحفلة شاي بعد غد.,Let's have a tea party the day after tomorrow.
841,PASS,,,
842,REPAIR,"Arabic says a new car, not specifically 'my new car'.",زوجتي خائفة من قيادة سيارة جديدة.,My wife is afraid to drive a new car.
843,REPAIR,"Standard spelling is إبلاغي.",الرجاء إبلاغي عن أي تغيير في حالته.,Please inform me of any change in his condition.
844,PASS,,,
845,PASS,,,
846,PASS,,,
847,PASS,,,
848,PASS,,,
849,REPAIR,"توقف المطر means the rain has stopped; express يمكننا as ability without losing C-band progression.","لقد توقف المطر، لذا يمكننا البدء.","The rain has stopped, so we are able to begin."
850,PASS,,,
