rank,status,note,proposed_target,proposed_english
901,PASS,,,
902,REPAIR,"فيم ستشعر is incorrect for 'how you'd feel'; use كيف ستشعر.",فكّر كيف ستشعر إن حدث ذلك لك.,Think about how you'd feel if that happened to you.
903,REPAIR,"هذه الأمر has a gender mismatch, and English omits the explicit حل ('solve').",هذا أمر علينا أن نعمل معًا على حلّه.,This is something we need to work together to solve.
904,REPAIR,"ما نحتاج is incomplete in standard MSA; use ما نحتاج إليه.",لا نملك من المال ما يكفي لشراء كل ما نحتاج إليه.,We don't have enough money to buy everything we need.
905,PASS,,,
906,PASS,,,
907,REPAIR,"الواحد والوحيد is an unnecessary calque; الوحيد is natural MSA.",أنت الوحيد الذي يستطيع إنقاذ العالم.,You are the only one who can save the world.
908,REPAIR,"انتهائك takes hamzat al-wasl, not إنتهائك.",يمكنك الذهاب للبيت بعد انتهائك من هذا العمل.,You can go home after you have finished this work.
909,REPAIR,"Arabic says 'we don't have time for this, as you know'; English changes it to 'not much time right now'.",ليس أمامنا وقت لهذا كما تعلم.,You know we don't have time for this.
910,REPAIR,"Sentence-initial امرأة should not carry accusative tanwin here; remove erroneous case marking.",امرأة مثلك لا تستحق رجلًا مثلي.,A woman like you doesn't deserve a man like me.
911,PASS,,,
912,PASS,,,
913,REPAIR,"كم سيكون مدى خطورة is awkward; standard question is ما مدى خطورة.",برأيك، ما مدى خطورة هذه المهمة؟,How dangerous do you think this mission is going to be?
914,REPAIR,"Demonstrative placement is wrong: المعرض هذا should be هذا المعرض.",كيف خطرت ببالك فكرة هذا المعرض؟,How did you come up with the idea for this exhibition?
915,REPAIR,"كيف تعلم means 'how do you learn'; intended verb is تعرف.",كيف تعرف إن كان حساب بريدك الإلكتروني قد اختُرق؟,How do you know if your email account has been hacked?
916,REPAIR,"الإجازة الماضية means last vacation, not last holiday season; verb construction is also awkward.",كم هدية تتوقع أنها تلقت خلال موسم الأعياد الماضي؟,How many gifts do you think she received last holiday season?
917,PASS,,,
918,REPAIR,"Arabic uses real future 'if this happens...what will you do?'; English shifts to remote hypothetical 'would'.",إن حصل هذا لأي سبب، فماذا ستفعل؟,"If this happens for some reason, what will you do?"
919,PASS,,,
920,REPAIR,"Arabic asks 'Who gave you the right...'; English asks 'What gives you the right...'.",من أعطاك الحق بأن تتحدث إلي هكذا؟,Who gave you the right to talk to me like that?
921,REPAIR,"Current تعلم لم أنا لست is malformed; use explicit أنت تعلم لماذا لست.",أنت تعلم لماذا لست مضطرًا للقيام بهذا، أليس كذلك؟,"You know why I don't have to do that, don't you?"
922,PASS,,,
923,PASS,,,
924,PASS,,,
925,REPAIR,"أخذ مشروب لنفسك is an unnatural calque; use أن تحضر لنفسك مشروبًا.",لا تتردد في أن تحضر لنفسك مشروبًا إن كنت عطشانًا.,Feel free to get yourself a drink if you are thirsty.
926,REPAIR,"Both sides use an incorrect conditional sequence; use past counterfactual forms.",لكان أخبرني بالحقيقة لو سألته.,He would have told me the truth if I had asked him.
927,PASS,,,
928,PASS,,,
929,PASS,,,
930,PASS,,,
931,REPAIR,"Predicate adjective after أكون should be accusative قادرًا.","إذا فعلت ذلك، فقد أكون قادرًا على مساعدتك.","If you do it, I might be able to help you."
932,PASS,,,
933,REPAIR,"Use the natural contrast construction ليس المهم...بل... to express 'what counts'.",ليس المهم ما تقوله، بل ما تفعله.,"It's not what you say, but what you do that counts."
934,REPAIR,"تفعل أفضل ما لديك is an English calque; idiomatic Arabic is تبذل قصارى جهدك.","لا يهم ما تفعله، يجب عليك أن تبذل قصارى جهدك.","No matter what you do, you have to do your best."
935,REPAIR,"أكون على تواصل معها is awkward; direct verb أتواصل is natural.",من فضلك أخبرني كيف يمكنني أن أتواصل معها.,Please tell me how I can get in touch with her.
936,PASS,,,
937,PASS,,,
938,PASS,,,
939,REPAIR,"Arabic هذا المتجر means 'this store'; English says 'that store'.",لا يمكنك أبدًا معرفة ما قد تجده في هذا المتجر.,You never can tell what you might find at this store.
940,REPAIR,"عمن is the correct fused form; يستطيع is 'can', not conditional 'would'.",هل لديك أي فكرة عمن يستطيع فعل مثل هذا الشيء؟,Do you have any idea who can do this kind of thing?
941,REPAIR,"Question is missing the copular relation; use a standard direct formulation.",ما أفضل طريقة برأيك لتسوية هذا النزاع؟,What do you think is the best way to settle this conflict?
942,REPAIR,"Standard spelling is الاستماع, not الإستماع.",كل ما أستطيع فعله في الوقت الحالي هو الجلوس هنا والاستماع.,All I can do at the moment is sit here and listen.
943,REPAIR,"English adds 'here', absent from Arabic.",ما أريده الآن هو الجلوس والاسترخاء.,All I want to do right now is sit and relax.
944,PASS,,,
945,REPAIR,"Current غايتي هي ألا تفعل ما تندم عليه is awkward and does not cleanly express future regret.",كل ما أريده هو ألا تفعل شيئًا ستندم عليه.,I just don't want you to do something you'll be sorry for.
946,REPAIR,"Missing hamzas in أعتقد أنه; smooth the English construction as well.",أعتقد أنه كان من الخطأ ألا تأخذ بنصيحتي.,I think it was a mistake not to take my advice.
947,PASS,,,
948,PASS,,,
949,REPAIR,"لو كنت أخبرتك is malformed for this hypothetical; use لو أخبرتك...لتفاجأت.",لو أخبرتك بالحقيقة، لتفاجأت.,"If I were to tell you the truth, you would be surprised."
950,REPAIR,"Missing preposition في after رغبتي.",دعني أخبرك سبب عدم رغبتي في فعل ذلك.,Let me tell you the reason I don't want to do that.
