rank,status,note,proposed_target,proposed_english
451,PASS,,,
452,PASS,,,
453,PASS,,,
454,PASS,,,
455,PASS,,,
456,PASS,,,
457,PASS,,,
458,PASS,,,
459,PASS,,,
460,PASS,,,
461,PASS,,,
462,PASS,,,
463,PASS,,,
464,PASS,,,
465,PASS,,,
466,PASS,,,
467,PASS,,,
468,PASS,,,
469,PASS,,,
470,PASS,,,
471,PASS,,,
472,PASS,,,
473,PASS,,,
474,PASS,,,
475,PASS,,,
476,PASS,,,
477,PASS,,,
478,REPAIR,"J'aurai besoin is explicitly future; English simple present is less exact.",J'aurai besoin de toi ici demain.,I will need you here tomorrow.
479,REPAIR,"aimer a person means love; English incorrectly says 'like'.",Je ne t'aime plus.,I don't love you anymore.
480,PASS,,,
481,PASS,,,
482,PASS,,,
483,PASS,,,
484,PASS,,,
485,PASS,,,
486,PASS,,,
487,PASS,,,
488,PASS,,,
489,PASS,,,
490,PASS,,,
491,PASS,,,
492,PASS,,,
493,PASS,,,
494,REPAIR,"en refers to it/of it; it does not specifically mean 'this'.",Je pense qu'on en a besoin.,I think we need it.
495,REPAIR,"avoir tort is naturally 'be wrong'; English 'be incorrect' is unnecessarily unnatural for this learner sentence.",Je crois que vous avez tort.,I think you're wrong.
496,REPAIR,"bien entendu here means heard correctly/well; English drops that nuance.",Je crois que vous m'avez bien entendu.,I think you heard me correctly.
497,PASS,,,
498,REPAIR,"rentrer chez moi means go/return home, not necessarily come home.",Je veux rentrer chez moi.,I want to go home.
499,PASS,,,
500,PASS,,,
