rank,status,note,proposed_target,proposed_english
51,PASS,,,
52,PASS,,,
53,PASS,,,
54,PASS,,,
55,REPAIR,"Pourrais-tu is conditional 'Could you', not 'Can you'.",Pourrais-tu m'aider ?,Could you help me?
56,REPAIR,"prêter main forte is idiomatic 'lend a hand/give assistance'; preserve that distinction from plain m'aider.",Pourrais-tu me prêter main forte ?,Could you lend me a hand?
57,PASS,,,
58,PASS,,,
59,PASS,,,
60,PASS,,,
61,PASS,,,
62,PASS,,,
63,PASS,,,
64,PASS,,,
65,PASS,,,
66,REPAIR,"Aimer a person here means 'love', not merely 'like'.",Est-ce que tu m'aimes ?,Do you love me?
67,PASS,,,
68,PASS,,,
69,PASS,,,
70,PASS,,,
71,PASS,,,
72,PASS,,,
73,PASS,,,
74,PASS,,,
75,PASS,,,
76,REPAIR,"le dire means 'say it'; English 'tell' is not exact here.",Comment pouvons-nous le dire ?,How can we say it?
77,PASS,,,
78,PASS,,,
79,PASS,,,
80,PASS,,,
81,PASS,,,
82,PASS,,,
83,PASS,,,
84,REPAIR,"The pronoun y adds 'about it/with it'; English omits that meaning.",Qu'y puis-je ?,What can I do about it?
85,PASS,,,
86,PASS,,,
87,PASS,,,
88,PASS,,,
89,PASS,,,
90,PASS,,,
91,PASS,,,
92,PASS,,,
93,PASS,,,
94,PASS,,,
95,PASS,,,
96,PASS,,,
97,PASS,,,
98,PASS,,,
99,PASS,,,
100,PASS,,,
