rank,status,note,proposed_target,proposed_english
651,PASS,,,
652,PASS,,,
653,PASS,,,
654,PASS,,,
655,PASS,,,
656,REPAIR,"passez du bon temps is ongoing present; English 'have a good time' can read as a future wish.",J'espère que vous passez du bon temps !,I hope you're having a good time!
657,REPAIR,"raconter de telles choses sur moi is more exactly 'tell such things about me' than generic 'say'.",Comment oses-tu raconter de telles choses sur moi !,How dare you tell such things about me!
658,PASS,,,
659,PASS,,,
660,PASS,,,
661,PASS,,,
662,PASS,,,
663,PASS,,,
664,PASS,,,
665,REPAIR,"French is an interrogative; English incorrectly uses exclamation punctuation.",Mais qu'as-tu donc fait pendant tout ce temps ?,What have you been doing all this time?
666,PASS,,,
667,PASS,,,
668,PASS,,,
669,REPAIR,"échec means failure; 'lack of success' unnecessarily weakens the meaning.",Es-tu en train de me reprocher ton échec ?,Are you blaming me for your failure?
670,PASS,,,
671,PASS,,,
672,REPAIR,"déjeuner means have lunch, not have dinner.",Allez-vous déjeuner ici avec moi ?,Are you going to have lunch here with me?
673,REPAIR,"For standard written French, negation requires ne: je n'ai aucun.",Es-tu en train de dire que je n'ai aucun sens de l'humour ?,Are you saying I have no sense of humor?
674,REPAIR,"dépourvu de cerveau is stilted/unidiomatic for this basic conversational meaning; use natural French.",Veux-tu dire que je n'ai pas de cerveau ?,Are you saying that I don't have a brain?
675,PASS,,,
676,PASS,,,
677,PASS,,,
678,PASS,,,
679,PASS,,,
680,PASS,,,
681,PASS,,,
682,PASS,,,
683,PASS,,,
684,PASS,,,
685,REPAIR,"Voulez-vous means 'Do you want'; ce travail is 'this work', while English says 'that work'.",Voulez-vous m'aider pour ce travail ?,Do you want to help me with this work?
686,PASS,,,
687,REPAIR,"offrir un verre means offer/buy someone a drink; the English 'wet your whistle' is unnecessary slang and poor learner alignment.",Puis-je t'offrir un verre ?,Can I buy you a drink?
688,REPAIR,"The French question incorrectly ends with a period.","Puis-je avoir deux hamburgers et un coca, s'il vous plaît ?","Can I have two hamburgers and a Coke, please?"
689,PASS,,,
690,PASS,,,
691,PASS,,,
692,PASS,,,
693,PASS,,,
694,REPAIR,"Pourriez-vous is conditional 'Could you', not 'Can you'.","Pourriez-vous repasser ce t-shirt pour moi, s'il vous plaît ?","Could you iron this T-shirt for me, please?"
695,PASS,,,
696,REPAIR,"Pourriez-vous is conditional 'Could you', not 'Can you'.","Pourriez-vous me dire où se trouve le restaurant, s'il vous plaît ?",Could you please tell me where the restaurant is?
697,REPAIR,"Accent required in plaît; répéter votre nom means repeat your name, not simply tell it once more.",Pouvez-vous s'il vous plaît me répéter votre nom ?,Can you please repeat your name?
698,PASS,,,
699,PASS,,,
700,REPAIR,"English adds 'still', which is absent; Arrives-tu à te rappeler asks whether the person can manage to remember.",Arrives-tu à te rappeler le moment où nous nous sommes rencontrés pour la première fois ?,Can you remember the time we first met?
