rank,status,target,english,issue,proposed_target,proposed_english
101,PASS,هل تعلم لماذا؟,Do you know why?,,,
102,PASS,هل تفهمني؟,Do you understand me?,,,
103,REPAIR,كيف بإمكاني مساعدتك ؟,How can I help?,Target explicitly includes an addressee and has incorrect spacing before the question mark; use a direct neutral MSA equivalent.,كيف يمكنني المساعدة؟,How can I help?
104,REPAIR,و كيف لك أن تعرف؟,How do you know?,Extra conjunction and awkward separated-conjunction construction for the intended standalone question.,كيف تعرف؟,How do you know?
105,PASS,ما عساني أن أفعل؟,What can I do?,,,
106,PASS,ماذا فعلتَ؟,What did you do?,,,
107,PASS,ماذا تحب؟,What do you like?,,,
108,PASS,ماذا تحتاج؟,What do you need?,,,
109,PASS,ماذا تقولين؟,What do you say?,,,
110,REPAIR,ماذا ترون؟,What do you think?,Semantic mismatch: ترون means see.,ماذا ترون؟,What do you see?
111,PASS,ما الذي تريده؟,What do you want?,,,
112,PASS,متى يمكننا الأكل؟,When can we eat?,,,
113,REPAIR,متىَ أتيتَ؟,When did you come?,Incorrect stray short vowel after متى.,متى أتيت؟,When did you come?
114,REPAIR,متى سنأكل؟,When do we eat?,Future-tense mismatch: سنأكل means will eat.,متى سنأكل؟,When will we eat?
115,PASS,إلى أين ذهبت؟,Where did you go?,,,
116,PASS,أين تعمل؟,Where do you work?,,,
117,PASS,لماذا أنت هنا؟,Why are you here?,,,
118,REPAIR,بإمكاني القدوم غداً.,I can come tomorrow.,Normalize standard MSA tanwin spelling.,بإمكاني القدوم غدًا.,I can come tomorrow.
119,PASS,أنا أُحب عملك.,I like your work.,,,
120,PASS,أحتاج مساعدتك.,I need your help.,,,
121,PASS,نحتاج إلى مساعدتك.,We need your help.,,,
122,REPAIR,هل الجميع جاهز؟,Are you all ready?,Subject mismatch: الجميع means everyone.,هل الجميع جاهز؟,Is everyone ready?
123,PASS,هل أنت في البيت؟,Are you at home?,,,
124,REPAIR,هل أنت غير مشغول غداً؟,Are you free tomorrow?,Awkward negative calque for free/available plus unnormalized غدًا.,هل أنت متفرغ غدًا؟,Are you free tomorrow?
125,PASS,هل أنت سعيد هنا؟,Are you happy here?,,,
126,PASS,هل أنت جديد هنا؟,Are you new here?,,,
127,PASS,هل يمكننا البقاء هنا؟,Can we stay here?,,,
128,PASS,أيمكننا الوثوق بك؟,Can we trust you?,,,
129,PASS,أيمكنك أن تسمعني؟,Can you hear me?,,,
130,REPAIR,هل تستطيع التحدث باللغة الانجليزية؟,Can you speak English?,Missing hamza in الإنجليزية.,هل تستطيع التحدث باللغة الإنجليزية؟,Can you speak English?
131,REPAIR,أتستطيع تحدث الفرنسية؟,Can you speak French?,Ungrammatical verbal construction.,هل تستطيع التحدث بالفرنسية؟,Can you speak French?
132,PASS,هل أحسنت التصرف اليوم؟,Did you behave today?,,,
133,PASS,هل اشتقت إليّ؟,Did you miss me?,,,
134,REPAIR,هل قلتَ شيئًا ؟,Did you say something?,Incorrect space before Arabic question mark.,هل قلت شيئًا؟,Did you say something?
135,REPAIR,هل تشرب القهوة عادةً؟,Do you drink coffee?,Target includes usually while English omits it; remove the extra adverb to preserve progression band.,هل تشرب القهوة؟,Do you drink coffee?
136,PASS,هل تأكل اللحم؟,Do you eat meat?,,,
137,REPAIR,هل لديك شك.,Do you have doubts?,Singular/plural mismatch and statement punctuation on a question.,هل لديك شكوك؟,Do you have doubts?
138,PASS,هل لديك نقود؟,Do you have money?,,,
139,PASS,ألديك واحد؟,Do you have one?,,,
140,PASS,هل تعرفه؟,Do you know him?,,,
141,PASS,هل تعرفهم؟,Do you know them?,,,
142,PASS,هل تحب الفرنسية؟,Do you like French?,,,
143,PASS,هل تحب التفاح؟,Do you like apples?,,,
144,REPAIR,هل تحب ذلك؟,Do you like it?,Demonstrative ذلك is more exactly that.,هل تحب ذلك؟,Do you like that?
145,PASS,أتحب الموسيقى؟,Do you like music?,,,
146,PASS,أتحب موسيقى الراب؟,Do you like rap?,,,
147,REPAIR,هل تحب كره القدم؟,Do you like soccer?,Lexical spelling error: كره means hatred; football is كرة القدم.,هل تحب كرة القدم؟,Do you like soccer?
148,PASS,هل تحب كرة المضرب؟,Do you like tennis?,,,
149,PASS,أتسكن هنا؟,Do you live here?,,,
150,PASS,أتحبني؟,Do you love me?,,,
