rank,status,note,proposed_target,proposed_english
351,PASS,,,
352,PASS,,,
353,PASS,,,
354,PASS,,,
355,PASS,,,
356,PASS,,,
357,REPAIR,"ignorer means ignore, not simply 'not know'. Rewrite French to express the English meaning exactly.",Comment peux-tu ne pas le savoir ?,How can you not know?
358,PASS,,,
359,PASS,,,
360,PASS,,,
361,PASS,,,
362,PASS,,,
363,PASS,,,
364,REPAIR,"pouvez is present 'can', and le is the pronoun 'it'; preserve both distinctions from savoir cela.",Comment pouvez-vous le savoir ?,How can you know it?
365,REPAIR,"ignorer means ignore; English incorrectly translates it as 'not know'.",Comment pouvais-tu l'ignorer ?,How could you ignore it?
366,PASS,,,
367,PASS,,,
368,PASS,,,
369,PASS,,,
370,PASS,,,
371,PASS,,,
372,REPAIR,"le means 'it'; English says 'this'.",Comment l'avez-vous fait ?,How did you do it?
373,PASS,,,
374,PASS,,,
375,PASS,,,
376,PASS,,,
377,REPAIR,"puis-je means 'can I'; English 'How do I' drops the modal.",Comment puis-je vous remercier ?,How can I thank you?
378,PASS,,,
379,PASS,,,
380,REPAIR,"D'où means 'from where'; English loses that meaning.",D'où me connais-tu ?,Where do you know me from?
381,PASS,,,
382,REPAIR,"peux-tu means 'can you'; English incorrectly says 'How do you not understand?'.",Comment peux-tu ne pas comprendre ?,How can you not understand?
383,PASS,,,
384,PASS,,,
385,PASS,,,
386,PASS,,,
387,PASS,,,
388,PASS,,,
389,PASS,,,
390,PASS,,,
391,PASS,,,
392,REPAIR,"Je sais ce que vous ressentez means 'I know how/what you feel', not 'I appreciate how you feel'.",Je sais ce que vous ressentez.,I know how you feel.
393,PASS,,,
394,PASS,,,
395,PASS,,,
396,PASS,,,
397,PASS,,,
398,PASS,,,
399,PASS,,,
400,PASS,,,
