rank,status,note,proposed_target,proposed_english
701,REPAIR,"Bare لم is ambiguous for interrogative 'why'.",لماذا تعتقد أنّه يجب أن تقوم بذلك؟,Why do you think you have to do that?
702,PASS,,,
703,REPAIR,"لم يجب أن أفعل is not a correct expression of 'I shouldn't do'; rewrite the modal construction.",لم تكن تعلم أنني لا ينبغي أن أفعل ذلك، أليس كذلك؟,"You didn't know I shouldn't do that, did you?"
704,PASS,,,
705,PASS,,,
706,PASS,,,
707,REPAIR,"Current لِمْ changes the meaning to 'why'; intended past negation is لم. Also standard spelling is الاجتماع.",لم أعلم كم سيطول الاجتماع.,I didn't know how long the meeting would last.
708,REPAIR,"After يعلم, أحد is the grammatical subject and should not appear as accusative أحدًا.",لم أشأ أن يعلم أحدٌ أين كنت.,I didn't want anyone to know where I was.
709,PASS,,,
710,REPAIR,"Bare لم is ambiguous; use explicit لماذا.",لا أعلم لماذا ينبغي أن نقوم بذلك.,I don't know why we have to do that.
711,PASS,,,
712,REPAIR,"Arabic says أريد سؤالك ('want to ask you'); English says 'need to ask you'.",لدي سؤال أريد سؤالك عنه.,I have a question I want to ask you.
713,REPAIR,"أربعة أضعاف means four times as many, not the mathematically ambiguous 'four times more'.",لدي أربعة أضعاف ما عندك من الأقراص المدمجة.,I have four times as many CDs as you do.
714,PASS,,,
715,PASS,,,
716,PASS,,,
717,REPAIR,"أحتاج لتقول لي is ungrammatical; use أحتاج منك أن تقول لي.",أحتاج منك أن تقول لي أين أذهب.,I need you to tell me where to go.
718,REPAIR,"Arabic is adjectival 'I am grateful', while English is verbal 'I thank you'.",إني شاكر لك من أعماق قلبي.,I am grateful to you from the bottom of my heart.
719,REPAIR,"Arabic lacks كيف required for 'know how to do'.",ظننت أنّك لا تعرف كيف تفعل أيّ شيء.,I thought you didn't know how to do anything.
720,REPAIR,"وقتًا أكثر is a calque; idiomatic MSA uses مزيدًا من الوقت.",أريد أن أقضي مزيدًا من الوقت معك وحدنا.,I want to spend more time alone with you.
721,PASS,,,
722,REPAIR,"Subject mismatch: Arabic says what I want to do; English says what I want you to do.",سأخبرك بما أريدك أن تفعله.,I'll tell you what I want you to do.
723,PASS,,,
724,PASS,,,
725,REPAIR,"The relative clause is missing the copular link needed for 'where you told me it would be'.",كان في المكان الذي قلت لي إنه سيكون فيه.,It was where you told me it would be.
726,PASS,,,
727,PASS,,,
728,PASS,,,
729,REPAIR,"عشت فيها طفولتي is awkward; 'spent my childhood' is قضيت طفولتي.",هذه هي القرية التي قضيت فيها طفولتي.,This is the village where I spent my childhood.
730,REPAIR,"Normalize conjunction spacing and use a more idiomatic expression for taste.",ذوقيه وأخبريني كيف مذاقه.,Try it and tell me what it tastes like.
731,PASS,,,
732,REPAIR,"أيمكننك is a typo; correct form is أيمكنك.",أيمكنك أن توصلني إلى المحطة؟,Can you give me a lift to the station?
733,PASS,,,
734,REPAIR,"استلم takes hamzat al-wasl, not إستلم.",هل استلمتَ الرسالة التي أرسلتها لكَ بالأمس؟,Did you receive the message I sent you yesterday?
735,REPAIR,"Normalize Arabic على and reflect possessive أسئلتك in English.",هل عليّ أن أجيب على أسئلتك كلها؟,Do I have to answer all of your questions?
736,REPAIR,"هذه is singular feminine ('this one') here, while English says plural 'these'.",هل عندك واحد أكبر قليلًا من هذه؟,Do you have one a little bigger than this one?
737,PASS,,,
738,REPAIR,"Correct الآن and use ذلك to match English 'that'.",هل تريدين حقًا التحدث بشأن ذلك الآن؟,Do you really want to talk about that now?
739,REPAIR,"المدينة is feminine, so relative pronoun must be التي.",هل تذكر المدينة التي ولد بها؟,Do you remember the town where he was born?
740,REPAIR,"Arabic says 'made a mistake on purpose' without demonstrative 'that'.",هل تظنه أخطأ عمدًا؟,Do you think he made a mistake on purpose?
741,PASS,,,
742,PASS,,,
743,PASS,,,
744,REPAIR,"بها is unnecessary/awkward after ركبت; use direct object.",متى كانت آخر مرة ركبت دراجة هوائية؟,When was the last time you rode a bike?
745,PASS,,,
746,REPAIR,"English declarative wording conflicts with the Arabic interrogative.",تقول إنك تتعمد إخفاء مظهرك الحسن؟,Are you saying you intentionally hide your good looks?
747,REPAIR,"English double negative is incorrect; Arabic means neither parent knows how to swim.",كلا والداي لا يعرفان كيف يسبحان.,Neither of my parents knows how to swim.
748,PASS,,,
749,REPAIR,"Standard MSA uses في الساعة الرابعة rather than colloquial على الساعة الرابعة.",لقد وعدني أنه سيأتي في الساعة الرابعة.,He promised me that he would come at four.
750,PASS,,,
